text,labels
"Iza šuma, iza gora, iza reka, iza mora, žbunja, trava, – opet noćas tebe čeka čudna neka zvezda plava, zvezda prava. Čak i ako ne veruješ, probaj toga da se setiš. Kad zažmuriš i kad zaspiš, ti pokušaj da je čuješ, da odletiš, da je stigneš i uhvatiš i sačuvaš kad se vratiš. Ali pazi: ako nije sasvim plava, sasvim prava, mora lepše da se spava, da se sanja do svitanja, mora dalje da se luta, – tristo puta, petsto puta, mora druga da se nađe… treća… peta… mora u snu da se zađe na kraj sveta i još dalje iza kraja – do beskraja. Mora biti takve zvezde. Šta se čudiš? Pazi samo da je negde ne ispustiš dok se budiš. Pazi samo da se negde ne izgubi, ne povredi. Takva zvezda u životu mnogo znači, mnogo vredi. Ja ti neću reći šta je ova zvezda plava, zvezda sjajna. Kad je nađeš – sam ćeš znati. Sad je tajna. ","Ljubavna poezija"
"Prelepa reko! dok tvoj pramen kristalno čist treperi, ti žarke si lepote znamen – srce neskrito ljupko – smelih draži klupko u starog Alberta kćeri; Kad ona tvom se valu smeši – što trepti kroz odsjaje – tad od svih potoka lepši njen poklonik postaje; jer, kao tvoj val, on sred srca lik čuva njen duboko – i drhti dok se nad njim zrca duše joj željno oko. ","Ljubavna poezija"
"Bez vas bi htio reći vam mnogo, Kraj vas bih htio slušat vas; No vi šuteć gledate strogo, A ja sav zbunjen, gubim glas. I što sad? . . .Riječju neiskusnom Zanijet um vaš nije mi lako … I sve bi to sad smiješno bilo, Kad ne bi bilo tužno tako… ","Ljubavna poezija"
"Za nevine si odviše ti mila. Ljubazna odveć, ljubavi da se latiš! Za pola sveta ti bi sreća bila, al’ sama nikad sreće nećeš znati; Dve sreće nigda nema za čoveka – jesi li vid’la brzu, moćnu reku? Obale cvatu, ali celim tokom dno joj je uvek hladno i duboko! ","Ljubavna poezija"
"Ko zna (ah, niko, niko ništa ne zna. Krhko je znanje!) Možda je pao trak istine u me, A možda su sanje. Još bi nam mogla desiti se ljubav, Desiti – velim, Ali ja ne znam da li da je želim, Ili ne želim. U moru života što vječito kipi, Što vječito hlapi, Stvaraju se opet, sastaju se opet Možda iste kapi – I kad prođe vječnost zvjezdanijem putem, Jedna vječnost pusta, Mogla bi se opet u poljupcu naći Neka ista usta. Možda ćeš se jednom uveče pojavit Prekrasna, u plavom, Ne sluteći da si svoju svjetlost lila Mojom davnom javom, I ja, koji pišem srcem punim tebe Ove čudne rime, Oh, ja neću znati, čežnjo moje biti, Niti tvoje ime! Pa ako i duša u tom trenutku Svoje uho napne, Sigurnim će glasom zaglušiti razum Sve što slutnja šapne; Kod večernjih lampi mi ćemo se kradom Poglédat ko stranci, Bez imalo svijesti koliko nas vežu Neki stari lanci. No vrijeme se kreće, no vrijeme se kreće Ko sunce u krugu, I nosi nam opet ono što je bilo: I radost, i tugu. I sinut će oči, naći će se ruke, A srca se dići – I slijepi za stope bivšega života Njima ćemo ići. Ko zna (ah, niko, niko ništa ne zna. Krhko je znanje!) Možda je pao trak istine u me, A možda su sanje. Još bi nam mogla desiti se ljubav, Desiti – velim, Ali ja ne znam da li da je želim, Ili ne želim. ","Ljubavna poezija"
"Priđi mi bliže, lepotane mladi! što si mi stidljiv! – Ta zar ženske grudi to tvoja ruka prvi put sad gladi? Ti čitav čas u zagrljaju bludi već ležiš – nikako taj strah da svladaš… Teže na grudi, no pred noge padaš? Za tren života tvoga samo molim… Ta šta je, zlato? – Ja te volim, volim!… Oh, što si lep! – Uz prozor s prvim mrakom, dešavalo se, čekah, želja puna, da prođeš ti, i bivalo je tako – da l’ pamtiš to? – Dok posrebrena luna sred oblaka, ko s grešnim anđel sveti, bludeći, k tebi bledim zrakom leti. Ja bejah ponosna što najzad treba na suparnicu da računam s neba. U svetu prezir prema meni vlada, no gde je pravda kad te tako vaga? gde je vrlina, ako je stid pada ne ponižavanje – već samo ljaga? Nevinih žena nigde nema, rode, ne bude samo predmeta il’ zgode. Kad ljube one k sebi nisu stroge: Jedna će jednog, ta – sve, treća – mnoge! Ne pamtim sama roditelje svoje, tuđinka nije gladila po kosi, dani veselja prstima se broje – lepotom svojom čak se ne ponosih; U petnaestoj zla me sudba uze, muškarcu su me prodali – i suze, molbe… al’ više nije bilo spasa. Otada tonem, tonem svakog časa. Drag mi je stid moj! On mi pravo daje da ljubim tebe, i da život tvoj od briga čuvam dok taj zanos traje! Naslađuj se! O, gospodaru moj! Iako može da se desi lako da umrem krhka, kad me stegneš tako, ni smrt od tebe neće da me boli. Mili! Zar je što teško kad se voli! ","Ljubavna poezija"
"Ne, ti sad nisi više ona – koja Osvajaše me nekad; nit‘ ljepota Privlači mene! To je – bol života I izgubljena zalud mladost moja. I kad, ponekad, očaram se tobom, Gledajuć željno u oči ti sjajne, Ja tada vodim razgovore tajne, Ali ne s tobom već sa samim sobom. Sa slikom one drugarice mlade, Čije se crte u tvom liku skriše, S ustima koje ne govore više I sa očima – blijeskom mrtve nade! ","Ljubavna poezija"
"Od naše ljubavi i sreće, Gle, zvijezde su večeras veće; A šum što dopire iz grada, Nije l’ ko pjesma vodopada? O, to je polet u visinu! Srca nam zamiru i ginu. U ljubavi bih s tobom, draga, Nestati htio ja bez traga. ","Ljubavna poezija"
"Mala kavana. Treperenje sunca i stol u kutu za dvoje – Pa ti me ljubiš, zbilja me ljubiš, drago, jedino moje?! Mjeseče, ljubav je u meni rasla, al’ nikom to ne htjedoh reći. Bio sam sam, ispijen od čežnje, a tako blizu sreći. Da l’ mogo sam slutiti ovoga jutra, blijed još od probdite noći, da ću ti šaptati riječi, sanjane u samoći? I da ću tog jutra, što će se vječno u riznici srca da zlati, naić’ na ruku toplu i spremnu da stisak mi dršćući vrati? ","Ljubavna poezija"
"I lije na uglu petrolejska lampa svijetlost crvenkastožutu na debelo blato kraj staroga plota i dvije, tri cigle na putu. I uvijek ista sirotinja uđje u njezinu svjetlost iz mraka, i s licem na kojem su obično brige pređe je u par koraka. A jedne večeri nekoga nema, a morao bi proć; I lampa gori, i gori u magli, i već je noć. I nema ga sutra, ni prekosutra ne, i vele da bolestan leži, i nema ga mjesec, i nema ga dva, i zima je već, i sniježi. A prolaze kao i dosad ljudi, i maj već mirise – a njega nema, i nema, i nema, i nema ga više. I lije na uglu petrolejska lampa svijetlost crvenkastožutu na debelo blato kraj staroga plota i dvije, tri cigle na putu. ","Ljubavna poezija"
